ordinal_id,geo_id,volume
0,0,Beamline
1,504403295704449025,Pixel::NegativeEndcap
2,504403295704449026,Pixel::NegativeEndcap
3,504403295704449027,Pixel::NegativeEndcap
4,504403295704449028,Pixel::NegativeEndcap
5,504403295704449029,Pixel::NegativeEndcap
6,504403295704449030,Pixel::NegativeEndcap
7,504403295704449031,Pixel::NegativeEndcap
8,504403295704449032,Pixel::NegativeEndcap
9,504403295704449033,Pixel::NegativeEndcap
10,504403295704449034,Pixel::NegativeEndcap
11,504403295704449035,Pixel::NegativeEndcap
12,504403295704449036,Pixel::NegativeEndcap
13,504403295704449037,Pixel::NegativeEndcap
14,504403295704449038,Pixel::NegativeEndcap
15,504403295704449039,Pixel::NegativeEndcap
16,504403295704449040,Pixel::NegativeEndcap
17,504403295704449041,Pixel::NegativeEndcap
18,504403295704449042,Pixel::NegativeEndcap
19,504403295704449043,Pixel::NegativeEndcap
20,504403295704449044,Pixel::NegativeEndcap
21,504403295704449045,Pixel::NegativeEndcap
22,504403295704449046,Pixel::NegativeEndcap
23,504403295704449047,Pixel::NegativeEndcap
24,504403295704449048,Pixel::NegativeEndcap
25,504403295704449049,Pixel::NegativeEndcap
26,504403295704449050,Pixel::NegativeEndcap
27,504403295704449051,Pixel::NegativeEndcap
28,504403295704449052,Pixel::NegativeEndcap
29,504403295704449053,Pixel::NegativeEndcap
30,504403295704449054,Pixel::NegativeEndcap
31,504403295704449055,Pixel::NegativeEndcap
32,504403295704449056,Pixel::NegativeEndcap
33,504403295704449057,Pixel::NegativeEndcap
34,504403295704449058,Pixel::NegativeEndcap
35,504403295704449059,Pixel::NegativeEndcap
36,504403295704449060,Pixel::NegativeEndcap
37,504403295704449061,Pixel::NegativeEndcap
38,504403295704449062,Pixel::NegativeEndcap
39,504403295704449063,Pixel::NegativeEndcap
40,504403295704449064,Pixel::NegativeEndcap
41,504403295704449065,Pixel::NegativeEndcap
42,504403295704449066,Pixel::NegativeEndcap
43,504403295704449067,Pixel::NegativeEndcap
44,504403295704449068,Pixel::NegativeEndcap
45,504403295704449069,Pixel::NegativeEndcap
46,504403295704449070,Pixel::NegativeEndcap
47,504403295704449071,Pixel::NegativeEndcap
48,504403295704449072,Pixel::NegativeEndcap
49,504403295704449073,Pixel::NegativeEndcap
50,504403295704449074,Pixel::NegativeEndcap
51,504403295704449075,Pixel::NegativeEndcap
52,504403295704449076,Pixel::NegativeEndcap
53,504403295704449077,Pixel::NegativeEndcap
54,504403295704449078,Pixel::NegativeEndcap
55,504403295704449079,Pixel::NegativeEndcap
56,504403295704449080,Pixel::NegativeEndcap
57,504403295704449081,Pixel::NegativeEndcap
58,504403295704449082,Pixel::NegativeEndcap
59,504403295704449083,Pixel::NegativeEndcap
60,504403295704449084,Pixel::NegativeEndcap
61,504403295704449085,Pixel::NegativeEndcap
62,504403295704449086,Pixel::NegativeEndcap
63,504403295704449087,Pixel::NegativeEndcap
64,504403295704449088,Pixel::NegativeEndcap
65,504403295704449089,Pixel::NegativeEndcap
66,504403295704449090,Pixel::NegativeEndcap
67,504403295704449091,Pixel::NegativeEndcap
68,504403295704449092,Pixel::NegativeEndcap
69,504403295704449093,Pixel::NegativeEndcap
70,504403295704449094,Pixel::NegativeEndcap
71,504403295704449095,Pixel::NegativeEndcap
72,504403295704449096,Pixel::NegativeEndcap
73,504403295704449097,Pixel::NegativeEndcap
74,504403295704449098,Pixel::NegativeEndcap
75,504403295704449099,Pixel::NegativeEndcap
